District Names,State/UT,Female_school ever %,population % electricity,drinking water %,sanitation %,clean fuel %,iodized salt %,Health insurance/finance scheme %,Women literacy %,Women (age 15-49)  with 10 or more years of schooling (%),women child marriage %,Births in the 5 years preceding the survey that are third or higher order (%),Women menstural hygiene,Family planning methods %,Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ?25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (?0.85) (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),Anaemic women %,All women age 15-19 years who are anaemic22 (%) ,Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women high blood sugar %,Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or Diastolic ?100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Women age 15 years and above who use any kind of tobacco (%),Women Alcohol %
Nicobars,Andaman & Nicobar Islands,78.0,97.9,98.8,83.5,56.9,99.4,2.7,87.5,53.5,11.4,0.0,100.0,65.3,57.2,46.4,2.7,2.0,9.5,3.3,40.4,71.7,78.0,72.6,43.9,97.9,85.1,2278.0,8.2,39.1,62.5,38.4,,38.3,48.0,7.4,3.9,13.1,23.2,8.5,35.4,13.4,13.2,5.4,63.5,29.6
North & Middle Andaman ,Andaman & Nicobar Islands,82.7,93.2,92.2,86.4,61.3,99.9,2.1,84.0,41.0,15.4,1.5,100.0,84.1,73.1,48.3,6.4,7.8,5.8,1.3,23.2,79.2,91.1,83.7,24.1,99.2,92.5,1904.0,8.6,35.9,79.3,62.5,,62.1,47.8,7.2,6.4,16.7,18.4,4.0,27.4,1.7,0.3,15.8,46.8,5.1
South Andaman ,Andaman & Nicobar Islands,84.7,99.6,97.9,89.3,91.9,99.7,1.2,86.7,57.5,17.1,0.5,98.2,57.1,50.5,34.0,2.8,1.8,17.6,8.6,31.2,85.9,92.1,81.0,61.9,98.9,88.1,3460.0,10.0,39.0,78.2,57.6,,57.7,43.2,7.5,9.5,18.4,12.7,4.9,23.0,1.3,0.7,8.0,19.6,1.7
Srikakulam ,Andhra Pradesh,60.0,99.9,87.7,71.6,74.7,76.5,75.6,64.3,42.5,25.4,0.0,78.0,72.3,72.2,71.0,0.6,0.0,5.7,3.6,16.0,78.4,94.4,67.5,35.3,100.0,90.8,3479.0,13.8,27.2,54.0,62.8,,62.6,59.2,8.2,7.8,17.4,12.8,5.9,22.1,1.0,0.2,3.8,7.1,0.6
Vizianagaram ,Andhra Pradesh,56.0,99.5,93.1,61.7,60.3,85.0,76.7,58.3,37.6,33.7,2.2,72.5,71.2,71.2,69.3,0.0,0.0,6.7,4.7,21.1,71.4,91.3,59.6,32.4,98.8,83.9,1931.0,16.9,28.8,58.0,64.6,,64.0,73.9,6.2,7.0,14.3,12.9,6.6,25.2,4.9,0.6,7.3,11.4,0.8
Visakhapatnam ,Andhra Pradesh,66.8,99.6,91.8,77.8,72.9,82.2,64.9,69.5,46.0,25.4,0.0,85.7,68.0,67.7,64.9,0.3,0.0,4.8,2.4,15.2,58.6,88.0,75.0,40.1,97.0,84.8,2200.0,17.4,23.8,58.0,58.6,,58.0,58.9,6.1,8.6,17.0,12.1,5.9,23.9,1.7,0.7,4.1,6.3,1.3
East Godavari ,Andhra Pradesh,75.4,98.8,97.9,77.7,80.3,81.2,66.4,77.9,43.2,26.0,1.3,71.0,66.3,66.3,64.1,0.1,0.3,8.0,4.4,12.5,51.0,87.0,62.7,32.3,91.4,91.9,8159.0,10.2,44.4,49.2,63.2,,63.0,65.2,7.5,12.7,21.7,13.0,6.6,29.0,1.9,1.0,4.8,3.2,0.7
West Godavari ,Andhra Pradesh,75.4,99.3,99.1,80.8,86.8,83.4,67.6,77.0,46.5,22.1,0.5,84.4,77.8,77.2,74.5,0.6,0.4,3.0,1.8,12.5,62.7,95.3,82.8,43.7,100.0,94.8,2318.0,10.1,45.3,51.6,63.1,,63.0,66.8,7.3,13.1,23.8,14.7,6.1,28.8,7.1,1.8,13.1,2.2,0.2
Krishna ,Andhra Pradesh,74.0,99.6,94.4,79.1,89.8,87.5,68.1,76.9,46.2,25.3,0.0,92.6,79.1,78.1,76.5,0.0,0.0,2.5,1.4,16.1,73.3,95.8,56.2,39.2,96.4,88.3,3715.0,10.5,40.6,53.5,60.4,,60.3,59.0,7.9,13.4,23.3,13.4,4.3,24.0,5.4,2.1,12.3,1.4,0.4
Guntur ,Andhra Pradesh,64.9,99.2,99.3,83.4,91.7,85.8,71.1,68.5,32.6,35.4,1.0,88.0,73.3,73.2,72.9,0.2,0.0,3.2,1.7,16.6,62.5,90.3,75.1,42.5,96.0,94.0,3912.0,9.6,46.4,53.4,59.8,51.9,59.5,54.6,7.8,13.0,22.7,14.7,5.9,25.8,6.5,0.2,14.6,1.6,0.2
Prakasam ,Andhra Pradesh,58.1,99.3,98.6,78.4,90.8,85.5,67.6,62.8,34.5,37.3,3.1,86.6,69.0,68.7,68.7,0.0,0.0,4.8,1.6,25.4,73.4,92.2,69.0,51.8,92.8,90.1,,14.4,39.5,50.5,60.6,,60.4,64.8,7.9,12.6,23.2,14.6,6.4,27.8,4.1,0.2,10.0,2.2,0.3
Sri Potti Sriramulu Nello ,Andhra Pradesh,67.9,99.1,95.6,81.8,84.6,85.6,72.3,70.5,38.7,23.8,3.4,84.0,71.9,71.7,71.4,0.0,0.0,3.1,2.3,19.7,73.0,94.2,76.1,51.8,92.8,95.5,1104.0,15.2,39.5,47.6,59.6,,59.4,68.6,8.2,12.3,21.8,12.7,4.5,23.0,10.2,0.8,6.7,4.4,0.3
Y.S.R. ,Andhra Pradesh,61.9,99.8,99.9,85.4,94.3,80.2,73.3,63.8,40.0,25.6,1.2,92.5,69.1,68.4,68.1,0.3,0.0,5.5,3.1,29.5,82.8,93.4,71.2,39.7,97.7,92.3,3389.0,15.9,33.9,30.6,56.1,57.6,56.1,60.2,8.4,8.7,18.4,13.6,5.7,23.2,13.4,0.9,3.6,3.1,0.2
Kurnool ,Andhra Pradesh,55.2,99.9,97.9,73.5,78.1,70.4,73.3,57.0,33.4,36.9,3.0,78.9,70.0,70.0,69.5,0.0,0.2,2.1,0.9,20.7,74.3,91.3,69.8,43.3,95.6,87.8,2094.0,20.6,29.0,42.1,58.3,67.8,58.6,61.1,6.9,6.9,15.1,18.3,5.1,27.0,2.3,0.2,2.9,2.1,0.4
