"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) 
18.7,21.6,15.7,24.6,24.6,1.5,37.7,1.8,5.7
5.9,27.0,27.0,42.8,42.8,0.8,30.4,7.0,4.5
23.5,21.1,12.6,17.4,17.4,7.2,43.4,0.0,6.0
16.1,19.7,19.5,21.4,21.4,4.5,59.6,1.3,11.9
1.8,36.4,19.2,32.2,32.2,4.7,66.7,1.4,7.5
11.8,31.0,21.5,33.5,33.5,4.8,72.6,2.0,8.1
10.2,23.1,14.3,22.4,22.4,3.4,66.8,2.2,13.3
3.5,31.4,11.7,22.5,22.5,5.2,62.3,1.0,2.7
23.4,29.8,14.3,21.1,21.1,4.2,65.7,2.4,7.8
11.2,23.8,17.8,26.9,26.9,3.6,59.3,1.0,10.0
13.4,22.6,8.7,24.7,24.7,5.1,62.6,2.9,7.9
6.9,29.2,17.2,27.8,27.8,0.5,67.5,3.9,8.9
5.5,34.4,14.1,26.7,26.7,0.2,60.6,2.3,5.9
9.6,50.5,16.7,46.3,46.3,1.1,70.8,4.2,4.5
2.9,36.0,19.3,40.6,40.6,0.3,55.8,2.6,2.5
6.0,27.1,14.8,27.9,27.9,0.5,54.9,3.1,4.8
18.8,30.4,7.1,9.0,9.0,21.1,89.6,6.2,14.8
19.7,24.2,23.2,13.4,13.4,15.5,66.6,2.5,10.0
26.4,35.7,15.8,14.2,14.2,10.2,51.7,2.4,7.3
24.9,29.7,9.0,15.6,15.6,9.1,53.4,1.9,4.6
15.4,36.8,12.2,19.2,19.2,9.0,60.4,1.3,5.9
25.2,30.4,12.5,12.0,12.0,13.5,51.0,1.5,6.2
28.9,26.3,16.3,25.0,25.0,3.9,65.3,0.8,1.3
29.8,30.7,11.5,8.1,8.1,14.4,52.4,4.2,6.4
11.0,16.9,18.1,16.0,16.0,4.6,88.6,0.7,3.9
23.9,14.3,7.6,9.7,9.7,5.0,51.5,1.0,2.8
25.4,23.6,14.3,16.0,16.0,2.9,57.1,7.1,9.3
